scale,policy,train_scale,model_label,n_instances,n_solved,solve_rate,median_cumulative_flips,mean_cumulative_flips,median_best_flips,mean_best_flips,par10,median_time_s,mean_time_s,total_time_s
n5,minbreak,n5,run7,500,500,100.0,233.0,344.7,7.0,8.1,344.7,0.0033,0.0043,2.15
n5,noveltyplus,n5,run7,500,500,100.0,174.0,203.4,8.0,8.4,203.4,0.0029,0.0031,1.57
n5,interian(n5),n5,run7,500,500,100.0,148.5,170.0,7.0,7.5,170.0,0.0066,0.0074,3.7
n5,ours(run7),n5,run7,500,500,100.0,118.0,134.5,6.0,6.4,134.5,0.0066,0.0074,3.72
n5,ours_online_kl(run7),n5,run7,500,500,100.0,117.0,134.4,6.0,6.4,134.4,0.0126,0.0179,8.93
n5,ours_online_success_kl(run7),n5,run7,500,500,100.0,116.0,132.1,6.0,6.4,132.1,0.017,0.0194,9.7
n7,minbreak,n5,run7,500,500,100.0,464.0,611.2,13.0,14.0,611.2,0.0078,0.0101,5.04
n7,noveltyplus,n5,run7,500,500,100.0,282.0,319.7,14.0,14.4,319.7,0.0057,0.0062,3.09
n7,interian(n5),n5,run7,500,500,100.0,247.5,273.4,12.0,12.5,273.4,0.0131,0.0147,7.35
n7,ours(run7),n5,run7,500,500,100.0,201.0,241.7,10.0,10.5,241.7,0.0129,0.015,7.48
n7,ours_online_kl(run7),n5,run7,500,500,100.0,202.5,244.4,10.0,10.4,244.4,0.0393,0.0538,26.9
n7,ours_online_success_kl(run7),n5,run7,500,500,100.0,199.5,243.5,10.0,10.4,243.5,0.0308,0.0382,19.12
n9,minbreak,n5,run7,500,500,100.0,751.0,1057.6,19.0,21.2,1057.6,0.0129,0.0172,8.6
n9,noveltyplus,n5,run7,500,500,100.0,412.0,482.9,20.0,20.8,482.9,0.0089,0.0098,4.9
n9,interian(n5),n5,run7,500,500,100.0,375.0,425.0,18.0,18.1,425.0,0.0192,0.0212,10.59
n9,ours(run7),n5,run7,500,500,100.0,341.5,437.1,15.0,15.4,437.1,0.021,0.0262,13.11
n9,ours_online_kl(run7),n5,run7,500,500,100.0,339.5,445.1,15.0,15.4,445.1,0.0806,0.1124,56.21
n9,ours_online_success_kl(run7),n5,run7,500,500,100.0,338.0,425.2,15.0,15.4,425.2,0.0467,0.0575,28.75
n12,minbreak,n5,run7,500,500,100.0,1232.0,1803.3,35.0,40.8,1803.3,0.0327,0.0433,21.63
n12,noveltyplus,n5,run7,500,500,100.0,675.0,843.5,35.5,37.7,843.5,0.0225,0.0257,12.86
n12,interian(n5),n5,run7,500,500,100.0,654.0,776.5,32.0,33.6,776.5,0.0425,0.0496,24.79
n12,ours(run7),n5,run7,500,500,100.0,960.0,1574.0,28.0,33.4,1574.0,0.0696,0.1097,54.87
n12,ours_online_kl(run7),n5,run7,500,500,100.0,1001.5,1507.5,28.0,30.5,1507.5,0.2977,0.4572,228.59
n12,ours_online_success_kl(run7),n5,run7,500,500,100.0,981.5,1510.4,28.0,30.8,1510.4,0.1492,0.218,109.02
